subject_id,bad_channels
sub-01_ses-02,"[P7,P8,T7]"
sub-01_ses-03,"[P7,P8]"
sub-01_ses-04,"[P7,P8,T7,Cz,FC2]"
sub-01_ses-05,"[O1,P7,CP2,P8,T7]"
sub-02_ses-01,"[FC2,Oz,Cz,P7,T7]"
sub-02_ses-02,"[F8,FC6,C3,Fp1,Fp2,AF4]"
sub-02_ses-03,"[P7,P8,Cz]"
sub-02_ses-04,"[P8,P7,Cz,T7]"
sub-02_ses-05,"[P8,P7,Cz]"
sub-02_ses-06,"[FC1,CP1,CP5,P7,P8]"
sub-03_ses-01,"[FC2,CP1,P8,P7]"
sub-03_ses-02,"[F7,Pz,F4,F8,T7]"
sub-03_ses-03,"[P8,Cz]"
sub-03_ses-04,"[FC2,P7]"
sub-03_ses-05,"[P8]"
sub-03_ses-06,"[P7]"
sub-04_ses-01,"[P7]"
sub-04_ses-02,"[P7]"
sub-04_ses-03,"[P7,P8,T7]"
sub-05_ses-01,"[Fz,F8,P8,T7]"
sub-05_ses-02,"[P8,T8]"
sub-05_ses-03,"[T8,P7,P8]"
sub-06_ses-01,"[FC2,Fp2,AF4]"
sub-07_ses-01,"[F4,FC5,F7]"
sub-09_ses-01,"[F8]"
sub-09_ses-02,"[FC2,F8]"
sub-09_ses-03,"[]"
sub-09_ses-04,"[P7]"
sub-11_ses-01,"[T7,CP5,P7,FC5]"
sub-11_ses-02,"[P7,F7]"
sub-11_ses-03,"[P7,P8]"
sub-12_ses-01,"[P7,P8]"
sub-12_ses-02,"[FC6,P7,F8]"
sub-12_ses-03,"[P7,P8]"
sub-13_ses-01,"[T7,P7]"
sub-13_ses-02,"[Fp1,T8,P7,P8]"
sub-13_ses-03,"[P7,T8,P8,F8,CP5]"
sub-14_ses-01,"[P7,P8,CP2]"
sub-14_ses-02,"[P7]"
sub-14_ses-03,"[P7,P8]"
sub-15_ses-01,"[CP1,P7,T7]"
sub-15_ses-02,"[CP2,T7]"
sub-15_ses-03,"[P7,P8]"
sub-17_ses-01,"[F8]"
sub-17_ses-02,"[Fz,FC6,F7]"
sub-17_ses-03,"[F7,F8]"
sub-18_ses-01,"[Cz]"
sub-18_ses-02,"[T8,F8,P8]"
sub-18_ses-03,"[T8,CP2,FC6,P8]"
sub-19_ses-02,"[Pz,P4,PO4,P7]"
sub-19_ses-03,"[P7,P8,Fp2,Fp1]"
sub-20_ses-01,"[FC6,CP6,T8,F8,F7]"
sub-20_ses-02,"[CP2,T8,F8,Cz,T7]"
sub-20_ses-03,"[Fz,T7,P7,F7]"
sub-21_ses-01,"[FC6]"
sub-21_ses-02,"[FC5]"
sub-21_ses-03,"[]"
sub-22_ses-01,"[P8,P7]"
sub-22_ses-02,"[P7]"
sub-22_ses-03,"[PO4,P7,P8]"
sub-22_ses-04,"[P8]"
sub-23_ses-01,"[P8,Fp2,P7]"
sub-23_ses-02,"[P7,P8,Fp2]"
sub-23_ses-03,"[P7,P8]"
sub-24_ses-01,"[PO4,PO3,P7,P8,CP2]"
sub-24_ses-02,"[PO4,P7]"
sub-24_ses-03,"[P8,T8,T7,P7,P8]"
sub-25_ses-01,"[Cz,P7]"
sub-25_ses-02,"[P7,T8]"
sub-25_ses-03,"[T8]"
