"channel","t","estimate","p_estimate"
"Fp1",-2.1803945571004,-0.00104843443114279,0.0353929214157169
"AF3",-2.18875866270061,-0.00102997453530271,0.0511897620475905
"F7",-2.00053102782067,-0.00113101872902941,0.0281943611277744
"F3",-2.24766683124958,-0.00107087658665697,0.0321935612877425
"FC1",-4.09465934510132,-0.00164470662394842,0.0001999600079984
"FC5",-2.66187233850829,-0.00126698475574013,0.0215956808638272
"T7",-4.51208145511947,-0.00215350809023273,0.000599880023995201
"C3",-3.90021632653781,-0.00183251987128561,0.0011997600479904
"CP1",-4.05075946773148,-0.00196230801412916,0.0001999600079984
"CP5",-5.52322338882362,-0.00249227861660412,0.0001999600079984
"P7",-4.98226891056092,-0.00242134910940534,0.0001999600079984
"P3",-5.43278135171167,-0.00318128727124881,0.0001999600079984
"Pz",-4.60357446171519,-0.00244468680639437,0.000399920015996801
"PO3",-7.34901141963737,-0.00369701809982515,0.0001999600079984
"O1",-6.94479742221609,-0.00347799227660693,0.0001999600079984
"Oz",-5.10406586342536,-0.00278320011022664,0.0001999600079984
"O2",-4.88832727495087,-0.00280930076402739,0.0001999600079984
"PO4",-5.05604165118155,-0.00257341292459787,0.0001999600079984
"P4",-5.4305924538964,-0.00277822296431063,0.0001999600079984
"P8",-4.72549113170157,-0.00220811484600065,0.0001999600079984
"CP6",-5.76288693808872,-0.00262370233481788,0.0001999600079984
"CP2",-3.98517917372002,-0.00192099213385613,0.000399920015996801
"C4",-4.21246516290875,-0.00181650394960471,0.0001999600079984
"T8",-3.89688082735059,-0.00217543460438691,0.000999800039992002
"FC6",-3.00338851760782,-0.00159471889598432,0.00559888022395521
"FC2",-3.3901887522291,-0.00150848635860628,0.0013997200559888
"F4",-2.95567507236932,-0.0014572026617027,0.0121975604879024
"F8",-2.44403210081399,-0.00130546346227458,0.00419916016796641
"AF4",-2.49556054437049,-0.00138045080584208,0.0125974805038992
"Fp2",-2.39350723038974,-0.00122742034655815,0.0177964407118576
"Fz",-2.64302980138898,-0.00117795086042351,0.00999800039992002
"Cz",-4.96292280064997,-0.00205818951836051,0.000399920015996801
